aseg_Brain-Stem_groupmean,aseg_CC_Anterior_groupmean,aseg_CC_Mid_Anterior_groupmean,aseg_CC_Central_groupmean,aseg_CC_Mid_Posterior_groupmean,aseg_CC_Posterior_groupmean,aseg_Optic-Chiasm_groupmean,aseg_Brain-Stem_groupmedian,aseg_CC_Anterior_groupmedian,aseg_CC_Mid_Anterior_groupmedian,aseg_CC_Central_groupmedian,aseg_CC_Mid_Posterior_groupmedian,aseg_CC_Posterior_groupmedian,aseg_Optic-Chiasm_groupmedian,aseg_Brain-Stem_groupstd,aseg_CC_Anterior_groupstd,aseg_CC_Mid_Anterior_groupstd,aseg_CC_Central_groupstd,aseg_CC_Mid_Posterior_groupstd,aseg_CC_Posterior_groupstd,aseg_Optic-Chiasm_groupstd
19712.7963,878.9296296,711.4925926,714.6740741,526.237037,978.6814815,177.4555556,19640.4,864.6,651.7,734.2,555.6,977.2,173.2,2456.926667,176.2709405,182.6065778,172.6306029,112.3664169,186.2046146,40.18564931
19874.49024,841.6207317,664.4378049,688.9829268,560.3073171,988.5963415,193.7597561,19878.8,826.4,626.4,658.3,519.3,964.8,189.45,2105.890067,157.6935415,201.0906108,206.179786,153.6674064,207.6385876,47.67082049
20431.2039,917.2727273,654.1025974,658.8571429,558.4727273,1020.790909,189.1350649,20745.7,890.7,639.1,645.1,545.1,994.2,189.7,2281.720331,173.4308535,155.2961263,166.3504247,113.5073237,149.5997556,46.04918642
20431.2039,917.2727273,654.1025974,658.8571429,558.4727273,1020.790909,189.1350649,20745.7,890.7,639.1,645.1,545.1,994.2,189.7,2281.720331,173.4308535,155.2961263,166.3504247,113.5073237,149.5997556,46.04918642
19728.43548,867.6435484,657.1080645,665.0064516,557.2822581,1016.082258,190.366129,19758.65,862.75,609.8,614.9,510.15,982.2,189.45,2512.046937,152.4910915,194.7688469,211.4262433,174.4595867,223.5435759,43.62112567
19834.48571,906.9885714,654.7342857,640.1514286,538.0085714,1054.128571,184.9771429,19824,894.8,642.8,644.5,576.3,1074.6,180.6,2063.617458,163.2176727,163.6904556,157.2339871,113.8457041,155.4970996,33.99609048
20431.2039,917.2727273,654.1025974,658.8571429,558.4727273,1020.790909,189.1350649,20745.7,890.7,639.1,645.1,545.1,994.2,189.7,2281.720331,173.4308535,155.2961263,166.3504247,113.5073237,149.5997556,46.04918642
19264.84889,873.2711111,649.2066667,652.6866667,570.4177778,980.3444444,188.0977778,19833.7,870,609.8,662.3,547.9,979,187.9,2449.060849,171.5697825,211.2273844,188.6134486,151.4269435,178.2590652,38.75594083
20085.91667,868.8777778,684.2611111,719.1972222,551.725,990.9027778,186.8416667,19960.35,862.7,662.7,693.2,540.3,1014.1,186.7,1945.206584,129.3350645,196.6611012,212.9874597,122.7682285,165.896962,34.28691858
20022.14444,877.1777778,636.5777778,692.8962963,583.3,1050.737037,201.9296296,19999.5,847.7,636.6,692.3,585.9,1027.5,204,2258.429158,162.8335732,167.1107195,163.9267765,106.6870225,165.2337695,42.24028168
20431.2039,917.2727273,654.1025974,658.8571429,558.4727273,1020.790909,189.1350649,20745.7,890.7,639.1,645.1,545.1,994.2,189.7,2281.720331,173.4308535,155.2961263,166.3504247,113.5073237,149.5997556,46.04918642
19786.81731,896.3865385,717.7115385,754.9288462,597.1153846,1023.692308,181.5192308,20116.05,853.95,717.4,752.3,580.35,1009.2,187.7,2420.846881,172.4654532,206.4743849,195.1398798,146.2481257,213.4570038,46.47963939
19835.56404,851.252809,651.1573034,669.7382022,518.5752809,964.1662921,173.3359551,19861.1,853.9,638.2,660.9,528.2,956.1,174.5,2265.086306,129.4717818,159.0254903,163.8390046,106.0947532,141.7301789,41.76585504
19835.56404,851.252809,651.1573034,669.7382022,518.5752809,964.1662921,173.3359551,19861.1,853.9,638.2,660.9,528.2,956.1,174.5,2265.086306,129.4717818,159.0254903,163.8390046,106.0947532,141.7301789,41.76585504
20107.23061,871.7142857,700.1857143,718.3428571,540.4102041,999.5979592,176.6489796,20370.4,865.8,677,718.5,548.5,993.9,182.9,2282.322756,134.0218344,142.3103241,154.40994,91.21003519,164.8896733,55.09110304
